CID100004568	D01AA01;A07AA02;G01AA01
CID100004583	J01MA01;J01MA12;S01AE01;S01AE05;S02AA16
CID100004585	N05AH03
CID100004594	A02BC05;A02BC01
CID100004595	A04AA01
CID100004599	A08AB01
CID100004601	M03BC01;N04AB02
CID100004603	J05AH02
CID100004607	J01CF04
CID100004609	L01XA02;L01XA03
CID100004614	M01AE12
CID100004616	N05BA04
CID100004623	G01AF17;D01AC11
CID100004631	C07AA02
CID100004634	G04BD04
CID100004635	N02AA05
CID100004638	A14AA05
CID100004639	-
CID100004649	J04AA02;J04AA01
CID100004666	L01CD01
CID100004673	M05BA03
CID100004675	M03AC01
CID100004678	D03AX03;S01XA12;A11HA30
CID100004679	A02BC02
CID100004680	A03AD01;G04BE02
CID100004689	A07AA06
CID100004691	N06AB05
CID100004695	-
CID100004724	C07AA23
CID100004725	J05AB13;D06BB06
CID100004727	M01CC01
CID100004730	J01CE02
CID100004735	-
CID100004736	N02AD01
CID100004737	N05CA01
CID100004739	L01XX08
CID100004740	C04AD03
CID100004745	N04BC02
CID100004746	C08EX02
CID100004747	N05AC01
CID100004748	N05AB03
CID100004756	G04BX06
CID100004763	N03AA02
CID100004768	C04AX02
CID100004771	A08AA01
CID100004775	A16AX03
CID100004782	R01BA03;R01AA04;C01CA06;S01GA05;R01AB01;S01FB01
CID100004786	R01BA01;A08AA07
CID100004810	C02AC05
CID100004811	V03AB19;S01EB05
CID100004812	B02BA01
CID100004819	N07AX01;S01EB01
CID100004828	C07AA03
CID100004829	A10BG03
CID100004834	J01CA12
CID100004845	R03CC07;R03AC08
CID100004865	D06BB04
CID100004868	A07AA05;J01XB02;S03AA03;S02AA11;S01AA18
CID100004870	C03AA05
CID100004885	N04BC05
CID100004889	C10BA03;C10AA03
CID100004891	P02BA01
CID100004893	C02CA01
CID100004894	S01BA04;H02AB06;D07AA03;S03BA02;R01AD02;D07XA02;A07EA01;C05AA04;S02BA03;S01CB02
CID100004895	-
CID100004896	-
CID100004900	A07EA03;H02AB07
CID100004906	N01BB04
CID100004908	P01BA03
CID100004909	N03AA03
CID100004911	M04AB01
CID100004913	C01BA02
CID100004914	C05AD05;N01BA02;S01HA05
CID100004915	L01XB01
CID100004917	N05AB04
CID100004920	G03DA04
CID100004923	P01BB01
CID100004927	R06AD02;D04AA10
CID100004932	C01BC03
CID100004934	A03AB05
CID100004935	S01HA04
CID100004943	N01AX10
CID100004946	C07AA05
CID100004976	N06AA11
CID100004989	P02CC01
CID100004991	N07AA02
CID100004992	R06AC01;D04AA02
CID100004993	P01BD01
CID100004999	N05CD10
CID100005002	N05AH04
CID100005005	C09AA06
CID100005029	M02AA03;A02BC04;A02BC07;M01AA05
CID100005032	R01AB05;S01FB02;C01CA26;R01AA03;R01BA02;R03CA02
CID100005035	G03XC01
CID100005038	C09AA05
CID100005039	A02BA02
CID100005040	L04AA10
CID100005051	C02AA01
CID100005052	C02AA02
CID100005064	J05AB04
CID100005070	N07XX02
CID100005071	J05AC02
CID100005073	N05AX08
CID100005076	J05AE03
CID100005077	N06DA03
CID100005078	N02CC04
CID100005090	M01AH02
CID100005095	N04BC04
CID100005106	J01FA06
CID100005152	R03AC12
CID100005155	J05AF04
CID100005161	N02BA06
CID100005184	A04AD01;N05CM05;S01FA02
CID100005193	N05CA06
CID100005195	N04BD01
CID100005203	N06AB06
CID100005206	N01AB08
CID100005210	A08AA10
CID100005212	G04BE03
CID100005214	D06BA01
CID100005215	J01EC02
CID100005238	V09FX04
CID100005245	M05BA07
CID100005248	-
CID100005253	C07AA07
CID100005257	J01MA09
CID100005267	C03DA01
CID100005291	L01XE01
CID100005297	J01GA01;A07AA04
CID100005300	L01AD04
CID100005311	L01XX38
CID100005314	M03AB01
CID100005318	D01AC09
CID100005320	D10AF06;S01AB04
CID100005329	J01EC01
CID100005333	J01EB06;D06BA05
CID100005352	M01AB02
CID100005358	N02CC01
CID100005359	M01AE07
CID100005372	L04AD02;D11AH01
CID100005376	L02BA01
CID100005379	J01MA16;S01AE06
CID100005381	D05AX05
CID100005391	N05CD07
CID100005394	L01AX03
CID100005396	L01CB02
CID100005401	G04CA03
CID100005402	D01AE15;D01BA02
CID100005403	R03AC03;R03CC03
CID100005404	G01AG02
CID100005407	-
CID100005408	G03BA03
CID100005409	-
CID100005410	-
CID100005411	N01BA03;S01HA03;C05AD02;D04AB06
CID100005419	R01AB03;R01AA06;S01GA02
CID100005426	L04AX02
CID100005430	P02CA02;D01AC06
CID100005452	N05AC02
CID100005453	L01AC01
CID100005454	N05AF04
CID100005466	N03AG06
CID100005468	M01AE11
CID100005470	G03CX01
CID100005472	B01AC05
CID100005478	S01ED01;C07AA06
CID100005479	J01XD02;P01AB02
CID100005483	R05CB12
CID100005486	B01AC17
CID100005487	M03BX02
CID100005496	J01GB01;S01AA12
CID100005503	A10BB05
CID100005505	A10BB03;V04CA01
CID100005508	M01AB03;M02AA21
CID100005512	G04BD07
CID100005514	N03AX11
CID100005515	L01XX17
CID100005516	L02BA02
CID100005523	N02AX02
CID100005524	R01AA09
CID100005525	C09AA10
CID100005526	B02AA02
CID100005530	N06AF04
CID100005533	N06AX05;A06AC07
CID100005538	D10BA01;L01XX22;L01XX14;D11AH04;D10AD04;D10AD01
CID100005544	H02AB08;R03BA06;R01AD11;A01AC01;D07XB02;S01BA05;D07AB09;C05AA12
CID100005546	C03DB02
CID100005556	N05CD05
CID100005564	D08AE04;D09AA06
CID100005565	-
CID100005566	N05AB06
CID100005572	N04AA01
CID100005576	N03AC02
CID100005577	R06AA10
CID100005578	J01EA01
CID100005582	P01AX07
CID100005584	N06AA06
CID100005591	A10BG01
CID100005593	S01FA06
CID100005595	A04AA03
CID100005596	G04BD09
CID100005625	J05AG02
CID100005636	S01EE02
CID100005645	A05AA01;A05AA02
CID100005647	J05AB11
CID100005650	C09CA03
CID100005651	J01XA01;A07AA09
