CID100104758	18795;50054507;50012040
CID100104778	-
CID100104799	-
CID100104849	50292156;21278;27336;50370340;50147010
CID100104865	50061101;50105000
CID100105145	-
CID100107694	-
CID100107969	50360523;50158336
CID100107994	50367258
CID100110634	50111900;14776;86726;50370570;94547
CID100110635	14777;50134147;50134149;50134134
CID100114709	50330859
CID100115237	50252513
CID100115355	50088804
CID100119182	50008368
CID100119212	-
CID100119607	13063
CID100119828	-
CID100119830	-
CID100121396	-
CID100121749	18793
CID100121892	50143558
CID100122197	50041627;50048558
CID100122316	11000;10989
CID100123015	4810;50408965
CID100123597	50150906
CID100123606	-
CID100123610	50092098
CID100123611	50057860
CID100123619	50072064
CID100123620	-
CID100123623	-
CID100123631	50325993;5447
CID100123634	-
CID100123809	-
CID100124087	50073179
CID100125017	86748;50010875
CID100125889	50164282;50164279
CID100127909	-
CID100128549	50405541;50021784;50405539
CID100129228	-
CID100129806	50221988;50160719;50215703;18372;50371228
CID100130564	-
CID100130881	50442892
CID100131535	-
CID100132804	-
CID100132971	25458;50031673;50072796
CID100132999	50326992
CID100134018	50320491
CID100134019	-
CID100134780	-
CID100135113	-
CID100145068	-
CID100147740	-
CID100147912	50181473
CID100148121	50044420
CID100148127	-
CID100148191	50343413
CID100148192	13934
CID100148211	50000460;50000449;50000476;50417287
CID100150310	50318300;50324120
CID100150311	50371521;87018
CID100150610	-
CID100151075	-
CID100151165	50106711
CID100151171	50319771;85095
CID100152945	50340481;50057487;50032759
CID100153941	-
CID100153994	-
CID100154058	50175579;50175570;50370682;50175571;50344284;50175577;50370683;50175580
CID100154256	50099585
CID100156326	50428890;84994;50445613
CID100156418	50432170;50416875
CID100157429	-
CID100157688	-
CID100157920	-
CID100157921	-
CID100158781	50241364
CID100158786	-
CID100159247	-
CID100160036	-
CID100160051	-
CID100160352	-
CID100163296	558;50376465;559;557;560
CID100166548	50333118;50417554
CID100168625	-
CID100168924	-
CID100170361	50174159;50323686;50166908
CID100171558	-
