D10AE01	CID100007187
D11AX13	CID100007638
R05DB01	CID100007699
H01BA01	CID100008230
H01BA06	CID100008230
N01BA04	CID100008612
J01CF06	CID100008982
N01AF01	CID100009034
N05CA15	CID100009034
R03DA05	CID100009433
S01XA11	CID100009904
A14AB01	CID100009904
N02AC04	CID100010100
B05XA02	CID100010340
B05CB04	CID100010340
N07XX04	CID100010413
N01AX11	CID100010413
S01EB03	CID100010547
L02AB02	CID100010631
G03AC06	CID100010631
G03DA02	CID100010631
N05AF05	CID100012453
N05AF02	CID100012453
S01BA11	CID100012536
D07AB08	CID100012536
G02CC03	CID100012555
A01AD02	CID100012555
M02AA05	CID100012555
M01AX07	CID100012555
D06BB11	CID100012620
N05CD06	CID100013314
L01CA01	CID100013342
L01XX27	CID100014888
J01CE08	CID100015232
C03DB01	CID100016230
N05AG02	CID100016362
S01JA01	CID100016850
L01BC08	CID100016886
V08DA05	CID100017358
