H01957	9690476;19842201
H01984	19416762;17603483;20535210
H00172	9266218;9546032;16365091;23086801
H01758	23887438;26711694;24461536
H00994	16720461;19396465;12572852;9585586;11110715
H02343	26598328;30933555;10424819
H01025	21884696;19822006
H00228	15561674;18406222;16162884;15660507;20439494
H01063	12821817;15575039
H01773	26747863;20301362
H00627	24597873;19465673;9497258;17701902;26218421;18499083;21188402;16722528;24597867;29044499;25062452;25437880;28175301
H02097	21765413;21765411;5129551;21765412;22102272;26971401
H01260	18268355
H01321	24313448;25343039
H02205	28013294;27547915
H01778	19305075;24334604;15563506
H01932	26119818;15103726
H01443	20810781;17588233;10720803
H00980	15666309;8574422
H01297	17187067
H00339	17224901;21171845;12503947;18388640;21412916
H00765	16080123
H00926	19559399
H00682	19026396;20507343;17710875;21964978
H00548	17295220;8211186;8862875;15630421
H01842	14706228;25379047;22984203
H00382	18262042;27876643;19857523
H01035	14556245
H00874	16685654
H00346	16635083
H01657	25961457;27932480;28181337;20969579;21691316;17537341;28117080;24500706
H00144	11461186;18708002;15570434;10973263
H01582	14693013;19892133;16745723;24627570
H01252	17129779;19508863;18559978
H02074	14695535;12707952
